24-12-20 16-04-02 mCherry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-12-20 16-04-02 mCherry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,810,820,830,840,850,860,870,880,890,900,910,920,930,940,950,960,970,980,990,1000,1010,1020,1030,1040,1050,1060,1070,1080,1090,1100,1110,1120,1130,1140,1150,1160,1170,1180,1190,1200,1210,1220,1230,1240,1250,1260,1270,1280,1290,
B02,15240,14671,14344,14161,14554,14245,14214,14120,14287,14268,14115,14184,14572,14326,14327,13977,14197,14291,14212,14312,14257,14225,14196,14297,14502,14293,14387,14486,14512,14741,14857,14942,15053,14964,14972,15094,15027,15133,14980,15151,15036,15073,15042,15077,15122,15139,15286,15004,15171,15106,15197,15348,15193,15287,15263,14889,15170,15270,15123,15506,15092,15113,15048,15124,15188,15084,15400,15319,15337,15072,15213,15362,15278,15061,15323,15210,15148,15097,15254,15126,15106,14972,15259,15095,15011,15220,15266,15225,15298,15171,15429,15077,15405,15453,15354,15297,15281,15395,15205,15293,15148,14939,15137,15195,15337,15382,15189,15134,15214,15399,15338,15050,15418,15488,15115,15247,15247,15120,15487,15011,15024,15277,15136,15310,15368,15260,15135,15377,15228,15205,
B03,14819,14824,14597,14636,14230,14344,14239,14366,14625,14096,14383,14505,14473,14477,14373,14456,14991,14913,15124,15512,15662,15733,15760,16376,16759,17345,18202,18966,20186,21021,22249,23616,25032,26436,24746,22301,22712,22939,23265,23552,23613,23424,23996,24121,24291,24201,24339,24680,24557,24729,24388,24573,24909,24320,24609,24690,24434,24237,24878,24492,24827,24844,24709,24604,24733,24810,24636,24889,25178,24795,24672,24987,24752,24361,24666,24682,24469,24548,24813,24507,24645,24713,24501,24422,24431,24676,24554,24523,24431,25130,24713,24406,24542,24948,24763,24662,24620,24422,24459,24492,24344,24583,24679,24764,24443,24831,25144,24466,24667,24957,24621,24582,24438,24531,25081,24656,24705,24794,24540,24309,24567,24267,24742,24549,24708,24779,24596,24636,24383,24445,
B04,15169,14571,14898,14420,14333,14257,14313,14561,14330,14518,14544,14565,14424,14634,14565,14483,14512,14473,14314,14362,14492,14563,14739,14627,14655,14545,14716,14252,14573,14423,14449,14506,14746,14943,15189,14855,15199,14964,15089,15183,15257,15275,15096,15107,15382,15208,15146,15246,15118,15135,15439,15232,15333,15596,15568,15207,15118,15254,15054,15266,15526,15295,15367,15292,15340,15260,15371,15407,15210,15430,15451,15239,15243,15686,15291,15155,15407,15343,15308,15395,15289,15246,14905,15353,15065,15477,15389,15464,15317,15237,15038,15423,15334,15588,15159,15310,15403,15316,15270,15718,15018,15451,15341,15329,15142,15383,15294,15486,15286,15617,15121,15401,15327,15507,15698,15343,15423,15186,15281,15419,15309,15335,15641,15450,15381,15377,15225,15412,15329,15407,
B05,15177,15016,14807,14370,14342,14780,14409,14677,14424,14569,14577,14721,14758,14854,14564,14654,14705,14850,15048,15105,15328,15501,15364,15863,16098,15962,16610,17086,17763,18637,19642,20438,21624,22519,24303,25384,26368,24791,22801,22813,23311,23476,23435,23725,23754,24007,24448,24619,24463,24774,24810,24968,25111,25062,24964,25146,25133,24692,24926,25484,25094,25200,25200,24877,24926,24908,25061,25406,25570,25578,25179,25425,25251,25117,25486,25008,25586,25283,24959,25090,25408,24896,25168,25075,24968,25196,25337,24970,25253,25167,25423,25022,25263,25079,25261,25088,25545,24896,25549,24854,25057,25325,25504,25201,25278,25790,25096,25141,25449,25623,25501,25057,25596,25617,25530,25340,25452,25405,25179,25572,25358,25045,25181,25536,25247,25328,25191,25295,25216,25293,
B06,15260,15041,14673,14622,14668,14684,14591,14636,14678,14679,14587,14625,14562,14783,14599,14817,14550,14702,14678,14814,14671,14761,14846,14802,14521,14474,14570,14334,14556,14715,14495,14848,14531,14550,14505,14687,14415,14620,14809,14295,14609,14683,14542,14686,14355,14318,14652,14311,14470,14544,14504,14424,14553,14433,14586,14531,14620,14466,14462,14354,14495,14414,14389,14425,14676,14720,14099,14269,14485,14587,14464,14361,14451,14255,14272,14406,14359,14506,14505,14471,14537,14315,14326,14279,14467,14401,14422,14360,14369,14431,14320,14568,14409,14577,14532,14332,14429,14431,14131,14349,14446,14469,14327,14473,14330,14134,14154,14459,14312,14538,14477,14624,14556,14144,14221,14182,14488,14311,14391,14586,14395,14274,14144,14294,14485,14522,14467,14398,14265,14099,
B07,15643,14855,14871,15005,14597,14490,14750,14515,14635,14521,14753,14447,14582,14804,14647,14596,14689,14493,14892,14665,14582,14507,14707,14718,14730,14632,14393,14481,14616,14363,14581,14447,14578,14448,14746,14400,14570,14462,14641,14479,14469,14201,14344,14489,14292,14666,14478,14452,14484,14338,14360,14520,14499,14274,14232,14403,14194,14398,14524,14534,14639,14670,14445,14496,14459,14442,14320,14373,14543,14207,14476,14613,14422,14345,14516,14342,14275,14348,14529,14342,14511,14434,14348,14617,14353,14390,14235,14379,14427,14350,14350,14186,14242,14226,14145,14418,14181,14202,14539,14321,14602,14380,14345,14346,14146,14329,14527,14181,14226,14379,14301,14310,14409,14260,14146,14588,14306,14343,14526,14466,14465,14264,14322,14281,14403,14489,14537,14582,14745,14703,
B08,15415,14871,14613,14823,14761,14551,14485,14668,14745,14228,14509,14354,14596,14430,14503,14497,14423,14684,14926,14672,14802,14667,14706,14702,14758,14881,14749,15053,14940,14873,15264,15425,15117,15242,15414,15188,15309,15332,15331,15076,15576,15332,15382,15390,15473,15438,15539,15409,15578,15357,15474,15611,15380,15239,15534,15401,15577,15650,15325,15433,15617,15524,15566,15422,15547,15339,15487,15337,15248,15412,15374,15501,15611,15418,15401,15566,15761,15428,15373,15470,15510,15488,15379,15260,15462,15340,15364,15353,15493,15467,15557,15186,15396,15545,15387,15794,15485,15541,15084,15492,15537,15599,15382,15249,15669,15481,15278,15629,15212,15826,15509,15478,15659,15608,15494,15532,15393,15690,15640,15618,15501,15367,15165,15366,15332,15547,15413,15456,15384,15597,
B09,15119,14707,14712,14400,14603,14787,14532,14524,14352,14695,14397,14824,14580,14629,14541,14260,14567,14741,14353,14678,14598,14419,14870,14739,14707,14834,15117,15011,15097,15090,15340,15558,15386,15735,15633,15334,15444,15559,15407,15410,15159,15351,15273,15521,15819,15529,15449,15405,15298,15352,15511,15342,15289,15433,15429,15559,15459,15668,15637,15707,15629,15520,15655,15580,15479,15538,15480,15416,15465,15354,15540,15549,15606,15332,15355,15344,15434,15743,15443,15539,15655,15610,15861,15431,15792,15246,15525,15470,15413,15686,15564,15406,15370,15130,15694,15477,15638,15671,15593,15614,15309,15643,15314,15531,15442,15335,15391,15295,15264,15535,15680,15356,15649,15516,15536,15456,15342,15380,15484,15590,15184,15582,15173,15735,15439,15508,15695,15669,15249,15522,
B10,15070,14650,14602,14397,14416,14344,14617,14291,14342,14260,14457,14542,14467,14504,14267,14248,14500,14464,14385,14505,14373,14492,14584,14455,14687,14286,14633,14580,14769,14668,15110,14966,14960,14866,15169,15199,15201,15279,14974,15237,15038,15210,15042,15433,15121,15148,15226,15406,15417,15363,15243,15124,15085,15311,15000,15119,15155,15137,15294,15542,15193,15546,15245,15182,15495,15540,15353,15154,15070,15141,15250,15304,15343,15215,15178,15332,15240,15155,15248,15271,15047,15468,15386,15325,15391,15152,15520,15386,15278,15196,15275,15371,15175,15289,15318,15341,15108,15430,15206,15215,15061,15060,15085,15231,15427,15405,15250,15301,15086,15235,15221,15316,15175,15074,15296,15315,15467,15313,15364,15413,15217,15436,15317,15301,15215,15477,15184,15140,15368,15331,
B11,14959,14363,14506,14386,14214,14209,14244,14066,14595,14266,14413,14263,14480,14574,14364,14278,14460,14571,14112,14388,14259,14480,14348,14661,14454,14707,14778,14808,14932,14868,14864,15126,15277,15395,15121,15192,14951,14975,15218,15190,15080,15362,14850,15071,15246,15232,15299,14986,15417,15198,15290,15122,15160,15135,15207,15041,14868,15268,14986,15047,14976,15059,15292,15123,14967,15360,14955,15283,15300,15104,15174,15297,15117,15149,15219,15067,15451,15037,15159,15246,15202,15148,15175,15156,15432,14994,15124,15269,15011,15371,15075,15130,15282,15043,15214,15067,15331,15306,15018,15259,15210,15247,15303,15371,15123,15252,15231,15215,15053,15338,15181,15176,15001,14961,15121,15238,15131,15114,15385,15319,15207,15303,15216,15503,15337,15244,15145,15182,15194,15491,
