Time,WT MADP,WT rhamP,MAD1 MADP,MAD1 rhamP,DP01 MADP,DP01 rhamP,MAD4 MADP,MAD4 rhamP,△MADS MADP,△MADS rhamP,MAD8 MADP,MAD8 rhamP
0,15415,15119,15070,14959,15559,15013,15194,14908,14996,14681,14725,14814
10,14871,14707,14650,14363,14853,14619,14553,14479,14534,14606,14375,14023
20,14613,14712,14602,14506,14589,14531,14628,14559,14741,14419,14282,14155
30,14823,14400,14397,14386,14486,14766,14423,14356,14427,14350,14341,14154
40,14761,14603,14416,14214,14677,14500,14464,14273,14306,14168,14112,13952
50,14551,14787,14344,14209,14935,14385,14001,14144,14171,14073,14211,13806
60,14485,14532,14617,14244,14685,14390,14230,14120,14018,13819,14028,13916
70,14668,14524,14291,14066,14596,14476,14384,14284,14409,14061,14228,13863
80,14745,14352,14342,14595,14564,14222,14209,14073,14226,14127,14193,14179
90,14228,14695,14260,14266,14767,14266,14342,14133,14444,14167,13997,14062
100,14509,14397,14457,14413,14516,14441,14458,14120,14259,14306,14254,13919
110,14354,14824,14542,14263,14447,14473,14124,14586,14500,14217,14165,14039
120,14596,14580,14467,14480,14519,14469,14015,14275,14469,14355,14142,14184
130,14430,14629,14504,14574,14906,14594,14076,14266,14433,14092,14365,13848
140,14503,14541,14267,14364,14851,14441,14231,14227,14284,14483,14397,14028
150,14497,14260,14248,14278,14532,14443,14268,14424,14491,14245,14202,13942
160,14423,14567,14500,14460,14802,14436,14512,14110,14248,14446,14334,13882
170,14684,14741,14464,14571,14715,14552,14493,14601,14264,14272,14279,13986
180,14926,14353,14385,14112,14510,14785,14530,14275,14375,14140,14496,14252
190,14672,14678,14505,14388,14469,14347,14413,14595,14202,14311,14329,14033
200,14802,14598,14373,14259,14791,14868,14479,14780,14639,13995,14487,14085
210,14667,14419,14492,14480,14488,14470,14546,14425,14372,14318,14194,14161
220,14706,14870,14584,14348,14687,14554,14451,14674,14510,14537,14382,14294
230,14702,14739,14455,14661,14854,14497,14719,14479,14546,14175,14252,14265
240,14758,14707,14687,14454,14956,14885,14664,14562,14394,14617,14442,14256
250,14881,14834,14286,14707,14886,14291,14742,14734,14622,14501,14544,14752
260,14749,15117,14633,14778,14968,14732,14973,14789,14718,14406,14486,14421
270,15053,15011,14580,14808,14818,15095,14934,14558,14871,14421,14861,14736
280,14940,15097,14769,14932,14792,14853,14751,14833,14536,14874,14635,14745
290,14873,15090,14668,14868,14863,15022,15084,14798,14952,14823,14678,14662
300,15264,15340,15110,14864,14775,14798,15022,14981,14950,15186,14808,14659
310,15425,15558,14966,15126,15145,15183,15042,15048,14985,14879,14925,14643
320,15117,15386,14960,15277,14985,14911,15326,15069,15017,14992,15188,14936
330,15242,15735,14866,15395,15084,15155,14910,15365,14988,15232,14962,14789
340,15414,15633,15169,15121,15095,15287,15371,15089,14940,14886,15442,14994
350,15188,15334,15199,15192,15099,15191,15114,15173,15065,15198,15215,15114
360,15309,15444,15201,14951,15302,15151,15291,15260,15307,15173,15150,15033
370,15332,15559,15279,14975,15265,15169,15320,15217,15345,14999,14981,14872
380,15331,15407,14974,15218,15125,15362,15187,15048,15050,14864,15044,14921
390,15076,15410,15237,15190,15241,15066,15130,15280,14867,14812,14973,14869
400,15576,15159,15038,15080,15277,15269,15275,14952,15091,14721,15129,14968
410,15332,15351,15210,15362,15487,15327,15038,15134,15133,15137,15017,15001
420,15382,15273,15042,14850,15036,15476,15386,15162,15175,15395,15175,14615
430,15390,15521,15433,15071,15304,15341,15267,15075,15327,14939,15425,14792
440,15473,15819,15121,15246,15273,15307,15279,15107,15290,14999,15100,15257
450,15438,15529,15148,15232,15704,15498,14980,15431,15399,15112,15262,15064
460,15539,15449,15226,15299,15439,15496,15183,15469,15306,15085,15004,14891
470,15409,15405,15406,14986,15523,15681,15390,15178,15359,15027,14918,15125
480,15578,15298,15417,15417,15489,15801,15165,15166,15204,14903,15101,14841
490,15357,15352,15363,15198,15276,15834,15367,15205,15415,15057,15057,14903
500,15474,15511,15243,15290,15368,15712,15335,15202,15513,15269,15092,14765
510,15611,15342,15124,15122,15553,15403,15341,15389,15374,15093,15202,14926
520,15380,15289,15085,15160,15459,15571,15133,15318,15236,15040,15206,14654
530,15239,15433,15311,15135,15621,15576,15504,15205,15249,15267,15380,15198
540,15534,15429,15000,15207,15669,15646,15426,15176,15272,15089,15147,15180
550,15401,15559,15119,15041,15610,15856,15196,15336,15244,15182,15462,14829
560,15577,15459,15155,14868,15368,15580,15383,15315,15141,14990,14959,14826
570,15650,15668,15137,15268,15494,15364,15178,15189,15103,14987,15212,15168
580,15325,15637,15294,14986,15695,15453,15275,15479,15146,14923,14963,15025
590,15433,15707,15542,15047,15740,15569,15473,15019,15194,15111,15190,14915
600,15617,15629,15193,14976,15432,15749,15363,15218,15214,15047,15222,14851
610,15524,15520,15546,15059,15676,15700,15281,15392,15257,15044,15451,15103
620,15566,15655,15245,15292,15496,15630,15110,15307,15161,15265,15376,14742
630,15422,15580,15182,15123,15685,15625,15355,15141,15291,14924,15112,15199
640,15547,15479,15495,14967,15375,15625,15132,15128,15173,14885,15197,15272
650,15339,15538,15540,15360,15740,15738,15502,15245,15348,15196,15040,14895
660,15487,15480,15353,14955,15582,15553,15369,15348,15244,14937,15323,15105
670,15337,15416,15154,15283,15549,15600,15273,15263,15068,15207,15418,15016
680,15248,15465,15070,15300,15513,15548,15315,15058,14980,14933,15003,15001
690,15412,15354,15141,15104,15520,15853,15209,15190,15324,15016,15181,15043
700,15374,15540,15250,15174,15490,15468,14943,15253,15148,15121,14967,14770
710,15501,15549,15304,15297,15417,15633,15325,15084,15017,15093,15314,15071
720,15611,15606,15343,15117,15437,15836,15016,15167,15304,15158,15112,15271
730,15418,15332,15215,15149,15577,15412,15674,14883,15555,15230,15097,14905
740,15401,15355,15178,15219,15833,15294,15313,15178,15291,15076,15138,14950
750,15566,15344,15332,15067,15569,15596,15299,15317,15475,15167,15424,14930
760,15761,15434,15240,15451,15150,15652,15304,15122,15243,15117,15269,15072
770,15428,15743,15155,15037,15457,15825,15630,15180,15077,14865,14861,15058
780,15373,15443,15248,15159,15421,15375,14966,15166,15556,15011,15022,14927
790,15470,15539,15271,15246,15468,15481,15080,15195,15333,15164,15440,15071
800,15510,15655,15047,15202,15295,15201,15530,15375,15092,15040,15116,15092
810,15488,15610,15468,15148,15587,15434,15299,15000,15418,15120,15225,14948
820,15379,15861,15386,15175,15319,15550,15256,15346,15190,14962,15126,14755
830,15260,15431,15325,15156,15444,15688,15364,15261,15335,15157,15309,15131
840,15462,15792,15391,15432,15539,15460,15318,15228,15147,15046,15395,14983
850,15340,15246,15152,14994,15292,15511,15377,14984,15380,15201,15287,15030
860,15364,15525,15520,15124,15456,15627,15591,15286,15338,14870,15120,15046
870,15353,15470,15386,15269,15382,15702,15516,15037,15014,15026,15365,15148
880,15493,15413,15278,15011,15399,15572,15233,15237,15258,14970,15008,15104
890,15467,15686,15196,15371,15878,15643,15277,15156,15365,15250,15262,14898
900,15557,15564,15275,15075,15449,15516,15752,15158,15431,15020,15286,15005
910,15186,15406,15371,15130,15443,15804,15180,15122,15297,14991,15361,15139
920,15396,15370,15175,15282,15355,15436,15133,15374,15254,15014,15192,14943
930,15545,15130,15289,15043,15410,15590,15421,15395,15376,15120,15248,15002
