Time,WT MADSP,WT rhamP,MAD1 MADP,MAD1 rhamP,DPO1 MADP,DP01 rhamP,MAD4 MADp,MAD4 rhamP,△MADS MADP,△MADS rhamP,MAD8 MADP,MAD8 rhamP
0,15240,14819,15169,15177,14838,14930,14970,15199,14967,14584,14834,14858
10,14671,14824,14571,15016,14627,14524,14597,14804,14453,14534,14517,14953
20,14344,14597,14898,14807,14526,14538,14395,14715,14637,14146,14335,14754
30,14161,14636,14420,14370,14456,14489,14500,14612,14220,14377,14453,14389
40,14554,14230,14333,14342,14229,14287,14099,14570,14200,14301,14004,14456
50,14245,14344,14257,14780,14491,14174,14592,14364,14205,14042,14150,14576
60,14214,14239,14313,14409,14317,14349,14620,14393,14205,14200,14206,14424
70,14120,14366,14561,14677,14351,14382,14165,14180,14035,14264,14081,14421
80,14287,14625,14330,14424,14372,14455,14160,14454,14387,14200,14224,14394
90,14268,14096,14518,14569,14374,14164,14345,14312,13914,13945,14195,14267
100,14115,14383,14544,14577,14310,14413,14326,14387,14238,13955,14056,14535
110,14184,14505,14565,14721,14202,14217,14312,14354,14210,14317,14174,14494
120,14572,14473,14424,14758,14546,14667,14363,14532,14024,14018,13956,14581
130,14326,14477,14634,14854,14375,14553,14161,14776,14366,14142,14277,14600
140,14327,14373,14565,14564,14386,14456,14066,14843,14207,14250,14235,14653
150,13977,14456,14483,14654,14467,14937,14264,14818,14126,14310,14019,14597
160,14197,14991,14512,14705,14461,14838,14183,14718,14176,14474,14237,14729
170,14291,14913,14473,14850,14271,15055,14455,14837,14280,14430,14277,14541
180,14212,15124,14314,15048,14335,15211,14421,14961,14197,14529,14192,14816
190,14312,15512,14362,15105,14203,15255,14496,14868,14122,14758,14311,15092
200,14257,15662,14492,15328,14492,15478,14399,15319,14320,15074,14161,15217
210,14225,15733,14563,15501,14535,15495,14387,15324,14267,14910,14305,15092
220,14196,15760,14739,15364,14320,15877,14676,15251,14146,15226,14375,15569
230,14297,16376,14627,15863,14373,15870,14354,15914,14241,15474,14452,15775
240,14502,16759,14655,16098,14330,16451,14477,16008,14443,15578,14381,16043
250,14293,17345,14545,15962,14481,16359,14380,16190,14353,15733,14337,16303
260,14387,18202,14716,16610,14552,16909,14833,16442,14541,16381,14485,16686
